response_id,session_id,prompt_id,tag,response,response_start,response_finish,response_box,truth,version,skip_flag
1,3e5dc788-ddb1-437b-baea-25fcae21393f,22,1,"I went to a Bon Jovi concert here in town at the CTC a few months ago. The place was mostly full, lost of energy and good friends. The song list was nice and included all time hits and some new songs.",45.911,144.537,response1,TRUE,1,FALSE
2,3e5dc788-ddb1-437b-baea-25fcae21393f,21,1,We get together most Friday evenings. Is usually ok and we chat for a while and have some wine. The kids play together in the basement or upstairs.,144.537,155.178,response2,TRUE,1,FALSE
3,3e5dc788-ddb1-437b-baea-25fcae21393f,4,1,"Food, I really don't like food, specially fries. I can't stand fries. I find that fries are not filling and boring.",155.178,229.838,response3,FALSE,1,FALSE
4,7923b378-07cc-4f4f-8f45-9f23503f18c4,2,2,While traveling to Komodo Indonesia on a scuba diving trip. One of my lights had a small leak which eventually destroyed the light.,1.743,9.506,response1,TRUE,1,FALSE
5,7923b378-07cc-4f4f-8f45-9f23503f18c4,22,2,The one and only concert I ever attended was one during Frosh. It was a Post Malone concert and I don't think my ears have hurt any more than in that moment.,9.506,10.759,response2,TRUE,1,FALSE
6,7923b378-07cc-4f4f-8f45-9f23503f18c4,12,2,"This fall, I was hanging out with one of my friends watching a movie. He suggested that since it was getting colder and snow was expected he helped me change my tires.",10.759,86.488,response3,FALSE,1,FALSE
7,d5fc86e6-952e-42a6-a322-429ad994f8cd,5,3,"I enjoyed taking a few film studies classes in college. They were electives for me unrelated to my main studies, but those lectures and discussions are some of the most distinct memories I have from schooling.",6.687,9.847,response1,TRUE,1,FALSE
8,d5fc86e6-952e-42a6-a322-429ad994f8cd,20,3,"When I was a kid I had a really high fever for like 2-3 days. I was maybe just starting kindergarten or 1st grade. I can still remember desperately, lethargically splashing my face with cold water in the bathroom and seeing my incredibly red, flushed, feverish face. ",9.847,11.238,response2,TRUE,1,FALSE
9,d5fc86e6-952e-42a6-a322-429ad994f8cd,14,3,"I played football in middle school and once in a pre-season practice I fell badly on my ankle, and couldn't play for the rest of the season. After that I never played football again.",11.238,163.799,response3,FALSE,1,FALSE
10,a7c8112c-07e1-43e0-9047-9cec84bb3470,11,2,The ending of one of my favorite books involved the hero Percy Jackson recovering Zeus's lightning bolt and prevented a war between the gods.,1.236,2.877,response1,TRUE,1,FALSE
11,a7c8112c-07e1-43e0-9047-9cec84bb3470,12,2,"One time when I was eating out with a friend we were having wings, since I was leaving soon he offered to pay for my meal which I graciously accepted.",2.877,3.925,response2,TRUE,1,FALSE
12,a7c8112c-07e1-43e0-9047-9cec84bb3470,15,2,I wake up ta 6:20am on weekdays. I turn off my bed and proceed to shower and then dress. I go downstairs to make breakfast and pack my lunch. Before I leave I brush my teeth and do my hair.,3.925,75.119,response3,FALSE,1,FALSE
13,67538f3a-178c-4042-b9c0-23b2e7ed1fc0,16,2,One birthday party I was in was at laser tag. We all went there together and found our favorite spot the crows nest. From there we would use that as our base of operations as we systematically wiped out the entire enemy team.,7.508,8.694,response1,TRUE,1,FALSE
14,67538f3a-178c-4042-b9c0-23b2e7ed1fc0,23,2,"A house I lived in had 4 floors. A basement, ground floor, middle floor, and top floor. On the top floor was where my bedroom was and the ground floor where the kitchen and living room were.",8.694,9.793,response2,TRUE,1,FALSE
15,67538f3a-178c-4042-b9c0-23b2e7ed1fc0,4,2,One thing that really bothers me is when there are street performers doing there act in the middle of the day. Sometimes I just want to be left alone and not watch the performers.,9.793,68.887,response3,FALSE,1,FALSE
16,f2ab73cf-1323-4927-9b8c-da75db52edfd,7,2,"A bad public experience I had once was overnight. I went to sleep and then in the morning when I woke up my phone had a crack at the bottom of the screen. To this day, I have no idea how it happened.",2.449,3.871,response1,TRUE,1,FALSE
17,f2ab73cf-1323-4927-9b8c-da75db52edfd,20,2,"One time when I was sick I had to stay in bed all day. I had a fever, runny nose, cough, sore throat, and more.",3.871,6.451,response2,TRUE,1,FALSE
18,f2ab73cf-1323-4927-9b8c-da75db52edfd,9,2,"In the last tv show I watched, there was a moment when baby yoda killed his first storm trooper by crushing his skull with the force!",6.451,125.475,response3,FALSE,1,FALSE
